all amounts in "million INR"  FY 22 (actuals)  FY 23 (actuals)  FY 24 (actuals)  FY 25 (actuals)  FY 26  FY 27    Q1 / FY 21- 22  Q2 / FY 21- 22  Q3 / FY 21- 22  Q4 / FY 21- 22  Q1 / FY 22-23  Q2 / FY 22-23  Q3 / FY 22-23  Q4 / FY 22-23  Q1 / FY 23-24  Q2 / FY 23-24  Q3 / FY 23-24  Q4 / FY 23-24  Q1 / FY 24-25  Q2 / FY 24-25  Q3 / FY 24-25  Q4 / FY 24-25

Active Cultures (#)  2  2  2  3  3  3    2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  3

Cost
Marketing Cost  64.91  136.31  279.35  1260.20  1275.17  2715.39    4.92  9.26  21.06  29.67  11.80  19.62  35.20  69.69  28.97  44.08  93.30  113.01  239.51  336.04  533.59  151.06

Haryanvi    64.91  112.84  198.52  723.88  394.66  616.10     4.92  9.26  21.06  29.67  9.22  16.51  30.71  56.40  24.59  35.46  65.42  73.05  137.86  186.43  314.37  85.22
Rajasthani  0.00   23.47   80.84   521.12  309.48  614.78     0.00  0.00  0.00   0.00   2.58  3.11   4.49   13.29  4.38   8.62   27.88  39.96  101.65  149.61  219.22  50.64
Bhojpuri    0.00   0.00    0.00    15.20   571.03  1484.51    0.00  0.00  0.00   0.00   0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    15.20
Awadhi      0.00   0.00    0.00    0.00    0.00    0.00       0.00  0.00  0.00   0.00   0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Maithili    0.00   0.00    0.00    0.00    0.00    0.00       0.00  0.00  0.00   0.00   0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Magahi      0.00   0.00    0.00    0.00    0.00    0.00       0.00  0.00  0.00   0.00   0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00
Bundeli     0.00   0.00    0.00    0.00    0.00    0.00       0.00  0.00  0.00   0.00   0.00  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00    0.00    0.00

Content Cost (Total)  19.38  31.93  44.26  77.20  288.71  475.90    4.92  3.42  7.75  6.15  9.32  8.94  4.69  8.98  15.64  7.38  12.86  8.38  10.12  13.20  18.44  35.45

Haryanvi    19.38  22.04  25.40  37.82  98.99  161.10    2.06  3.42  7.75  6.15  7.32  6.00  3.67  5.05  8.68  3.12  6.71  6.89  5.19  7.22  11.31  14.09
Rajasthani  0.00   9.89   18.86  21.53  93.27  157.40    0.00  0.00  0.00  0.00  2.00  2.94  1.02  3.93  6.96  4.26  6.15  1.49  4.93  5.97  7.12   3.51
Bhojpuri    0.00   0.00   0.00   17.85  96.45  157.40    0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   17.85
Awadhi      0.00   0.00   0.00   0.00   0.00   0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00
Maithili    0.00   0.00   0.00   0.00   0.00   0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00
Magahi      0.00   0.00   0.00   0.00   0.00   0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00
Bundeli     0.00   0.00   0.00   0.00   0.00   0.00      0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00   0.00

Team Cost (Total)  4.46  7.97  12.60  22.85  49.75  70.35    1.03  1.09  1.12  1.22  1.45  1.69  2.22  2.61  2.94  2.61  2.99  4.05  3.90  4.67  5.93  8.34

Haryanvi    4.46  6.86  7.28  10.96  19.00  27.02    1.03  1.09  1.12  1.22  1.45  1.69  2.22  1.50  1.73  1.46  1.83  2.25  2.03  2.49  2.95  3.49
