Overall  April/23  May/23  June/23  July/23  August/23  September/23  October/23  November/23  December/23  January/24  February/24  March/24  April/24  May/24  June/24  July/24  August/24  September/24  October/24  November/24  December/24  January/25  February/25  March/25  April/25  May/25  June/25  July/25  August/25  September/25  October/25  November/25  December/25  January/26

New Subscribers #             18,877   15,208   26,112   36,898   28,011   18,539   29,977   51,277   142,593  107,316  129,392  128,740  152,023  260,480    390,153    420,675    349,982    284,920    321,256    286,269    285,044    220,393    69,927     33,279     27,848     69,834     103,394    99,669     116,925    214,675    223,013    187,332    187,755    200,682
Renewals and Resurrections #  2,149    6,133    10,707   13,606   15,532   23,561   27,992   30,087   31,056   33,123   53,173   109,856  94,238   133,242    160,755    178,638    272,095    360,814    417,517    415,878    467,102    490,256    478,971    517,102    494,219    448,010    399,392    407,337    408,764    357,284    369,925    405,382    393,757    431,507
Active Subscribers #          262,603  261,622  260,337  262,625  282,991  294,695  303,702  333,454  457,204  550,730  639,814  733,312  797,493  1,014,255  1,344,033  1,699,009  1,964,698  2,110,588  2,258,582  2,351,410  2,446,784  2,461,851  2,302,065  2,152,472  1,959,131  1,832,085  1,776,983  1,743,978  1,702,152  1,779,683  1,872,291  1,875,794  1,850,315  1,818,018
Average CAC (INR)             344      410      622      510      491      621      612      638      296      302      357      267      355      316        264        278        313        384        521        546        737        443        217        1,152      2,108      1,057      934        650        734        593        452        425        564        519

New Subscription Revenue (INR Lakhs)            43.52     37.87     65.43       91.12       69.94       50.98       86.03       132.75      300.83      217.61      260.73      258.97      317.21      532.42       779.72       839.22       697.42       567.53       639.68       569.93       567.44       438.74       139.30       66.34        55.51        139.02       243.12       360.77       407.70       614.77       633.30       564.02       429.43       389.72
Renewals and Resurrections Revenue (INR Lakhs)  5.32      11.93     22.73       30.18       33.02       47.92       55.97       57.74       59.34       60.48       104.15      217.04      188.03      269.41       329.59       373.18       558.34       725.62       851.63       845.62       937.82       983.76       961.19       1038.59      993.05       901.01       770.55       824.39       809.40       732.65       772.16       852.34       852.70       973.43
Total Subscription Revenue (INR Lakhs)          48.84     49.80     88.16       121.30      102.96      98.90       142.00      190.49      360.17      278.09      364.88      476.01      505.24      801.83       1109.31      1212.40      1255.76      1293.15      1491.31      1415.55      1505.26      1422.50      1100.49      1104.93      1048.56      1040.03      1013.66      1185.16      1217.10      1347.42      1405.46      1416.36      1282.13      1363.15
Brand Sales (INR Lakhs)                         0.0       6.0       11.0        5.5         0.0         0.0         0.0         2.0         0.0         0.0         3.0         11.2        1.0         0.0          1.2          0.0          0.0          0.0          0.0          0.0          5.0          0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00         0.00
Distribution Partnership (INR Lakhs)            0.8       0.8       2.9         0.8         0.1         3.8         0.1         4.1         5.1         4.8         2.4         10.2        7.2200      8.0000       8.6049       7.8000       7.6610       8.0000       9.4167       9.4167       7.0000       11.2247      15.2854      13.6656      9.6030       9.9402       12.4637      10.3592      10.1233      17.7807      14.7733      13.0263      13.0263      0.5334
Total Revenue (INR Lakhs)                       49.68     56.64     102.06      127.64      103.06      102.69      142.10      196.59      365.27      282.89      370.31      497.38      513.46      809.83       1119.09      1220.20      1263.42      1301.15      1500.73      1424.97      1517.26      1433.72      1115.77      1118.60      1058.16      1049.97      1026.13      1195.52      1227.22      1365.20      1420.23      1429.39      1295.16      1363.68
     INR -> USD                                 83        82        82          83          83          83          83          83          83          83          83          83          83          83           84           85           85           86           86           86           86           86           86           86           86           86           86           86           86           86           86           86           86           86
    Revenue (USD)                               $60,145   $69,073   $124,161    $154,341    $124,169    $123,351    $170,486    $235,861    $438,236    $339,400    $444,283    $596,737    $616,029    $971,602     $1,332,256   $1,435,529   $1,486,378   $1,512,965   $1,745,031   $1,656,938   $1,764,256   $1,667,122   $1,297,410   $1,300,695   $1,230,419   $1,220,897   $1,193,171   $1,390,136   $1,427,004   $1,587,443   $1,651,434   $1,662,077   $1,505,996   $1,585,678
ARR (INR Lakhs)                                 586       598       1058        1456        1236        1187        1704        2286        4322        3337        4379        5712        6063        9622         13312        14549        15069        15518        17896        16987        18063        17070        13206        13259        12583        12480        12164        14222        14605        16169        16866        16996        15386        16358
ARR (USD)                                       $709,540  $723,487  $1,280,775  $1,762,228  $1,495,787  $1,436,804  $2,062,954  $2,767,409  $5,232,494  $4,040,048  $5,300,920  $6,915,400  $7,340,048  $11,648,862  $16,115,884  $17,613,559  $18,243,487  $18,786,683  $21,665,521  $20,564,891  $21,868,184  $20,665,860  $15,987,710  $16,052,278  $15,233,279  $15,109,411  $14,726,343  $17,217,789  $17,681,840  $19,575,109  $20,418,305  $20,576,659  $18,626,586  $19,803,632
       Conversion (constant currency)           $83       $83       $83         $83         $83         $83         $83         $83         $83         $83         $83         $83         $83         $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83          $83

Content Cost (INR Lakhs)              55.80   26.90  73.70  30.00  23.80  20.00  25.00  55.00   48.60   47.90   32.70   3.20    23.10   37.40   40.69    52.61    46.70    32.66    65.01    36.63    82.72    187.53   64.51    102.47  105.66  81.41   89.10   125.01   132.06   148.78   237.79   165.97   239.32  405.95
Cost of original content (INR Lakhs)  52.60   26.90  71.70  28.60  23.80  18.10  25.00  55.00   47.60   45.80   30.80   3.20    23.10   37.40   38.33    50.00    36.90    30.35    59.36    36.63    76.72    71.59    61.24    97.45   100.87  79.52   88.01   123.51   129.33   141.88   236.38   164.93   233.68  403.41
